1.219669	1.962906	bs
4.497531	5.031136	bs
5.374169	5.793430	s
8.080310	8.556743	bs
12.253866	12.882759	bs
14.609506	14.940637	s
15.589654	15.801578	s
17.179083	17.695648	bs
20.172509	20.967223	bs
24.106347	24.662647	bs
26.503736	26.768641	bs
29.020333	29.444180	o
30.967384	31.815079	bs
32.795227	33.152849	s
35.576729	36.027067	s
36.782046	37.007216	o
37.695968	38.503928	bs
40.252301	40.411244	s
41.311920	41.629806	bs
44.252365	45.060325	bs
46.530547	47.166319	bs
50.663063	50.967704	bs
54.954523	55.669766	bs
59.457906	59.987716	bs
61.537410	62.358615	bs
63.391744	64.279176	bs
66.120265	66.239472	s
