0.519278	1.152040	bs
0.749686	1.152040	p
2.915625	3.025020	p
2.915625	3.495896	bs
4.732539	5.165364	p
4.732539	5.507820	bs
7.576819	8.047695	p
7.576819	8.494789	bs
10.473419	10.996614	p
10.473419	11.510297	bs
12.342653	12.656570	p
12.342653	12.656570	s
14.387871	14.711300	b
15.648296	16.138197	p
15.648296	16.466383	bs
19.339201	19.653118	p
19.339201	20.242902	bs
21.412957	21.465276	p
21.484301	21.636504	s
22.554474	23.144257	p
22.554474	23.458175	bs
23.481956	23.553301	p
26.768574	27.543854	bs
26.863700	27.134811	p
29.574803	30.231176	bs
29.598585	29.869695	p
31.843568	32.052846	p
31.843568	32.052846	s
32.847152	33.187000	bs
32.847152	33.187000	p
