1.211841	1.493161	bs
3.851923	4.111603	b
6.253964	6.708405	bs
7.271045	7.574005	b
8.331406	8.807486	b
9.175366	9.283566	b
10.711807	11.447568	bs
13.957810	14.693570	bs
15.061450	15.407691	bs
16.208371	16.684451	bs
18.805173	19.043213	bs
19.670774	20.125214	b
21.034094	21.293775	b
21.921335	22.137735	b
23.024976	23.457776	bs
24.366657	24.734537	b
26.963459	27.266419	b
28.781220	29.668460	bs
31.204901	31.659342	bs
32.633142	33.152503	b
34.191224	34.342704	b
35.749305	36.441785	bs
36.961145	37.264106	b
39.687787	40.103513	bs
40.811058	40.968290	bs
41.322063	41.597219	b
43.208850	43.667444	o
44.112935	44.702556	bs
46.864499	47.008629	bs
47.733088	48.113066	b
48.676482	48.977844	b
50.248804	50.917041	b
53.236217	53.511373	bs
53.825838	54.271329	b
57.664925	58.267649	bs
59.027604	59.145529	b
59.774458	60.193743	b
61.110932	61.713655	bs
63.141848	63.443210	b
