0.947233	2.109746	bs
4.399494	4.998378	bs
5.320854	5.551194	s
7.278745	7.854595	bs
9.582145	10.111927	b
11.517001	12.346225	b
15.156373	15.640087	bs
16.999093	17.390671	b
18.588439	19.348561	bs
20.523295	20.799703	b
22.020506	22.642424	b
23.494682	23.955362	bs
26.258762	26.604272	bs
27.594734	27.940244	s
29.322284	29.759930	b
30.312746	30.796460	bs
33.906050	34.412798	b
35.057751	36.048213	b
36.485859	36.762267	b
37.522389	38.098239	b
38.397681	38.904429	bs
39.272973	39.664551	b
40.885353	41.115693	s
41.921883	42.221325	b
46.204104	46.820670	bs
48.753586	49.134737	b
51.141380	51.791577	bs
54.044847	54.538100	b
55.154667	55.558237	b
56.903473	57.396726	bs
61.275489	61.611798	b
61.824794	62.362888	b
64.403162	64.750682	bs
66.264072	66.746115	b
68.820020	69.148000	bs
