0.000000	1.182584	bs
0.863315	1.066968	p
2.129984	2.617480	bs
4.570782	4.769183	p
5.460070	5.660797	p
5.461586	6.112301	b
6.681515	7.101510	bs
7.483092	7.687967	o
8.463935	8.853199	b
9.705995	10.015870	p
11.403312	11.886610	b
12.938494	13.172246	p
13.898773	14.438930	b
17.111285	17.285020	p
17.111285	17.834653	bs
19.300342	19.878404	bs
21.997967	22.282260	p
22.803464	23.353098	b
24.379712	24.433411	p
25.655872	26.110741	b
27.011002	27.058384	p
27.058384	27.336360	bs
28.963148	29.067389	p
29.575957	29.970809	b
31.392274	31.727108	bs
32.718975	32.876916	p
33.650825	33.982500	bs
34.487910	35.170917	bs
34.487910	34.671121	p
