0.000000	0.573006	bs
1.466113	1.932218	p
1.466113	2.457646	bs
4.500034	5.855977	bs
7.194970	8.525488	bs
7.881416	8.000061	p
10.017025	10.567877	p
10.017025	10.567877	s
12.535601	12.737856	p
12.772365	13.262016	bs
14.851258	15.403800	bs
17.415149	17.461234	p
17.461234	17.681352	b
18.091689	18.269584	p
19.556134	20.104803	p
19.556134	20.642818	bs
22.133195	23.289128	bs
22.308982	22.740459	p
24.647483	24.738040	s
25.190825	25.616976	s
25.190825	25.616976	p
25.904627	26.565161	bs
25.904627	26.117703	p
27.247002	27.742402	p
27.247002	27.993016	bs
